Category,Shot Type,Shot Name,Description,Camera Movement,Duration,Priority,Equipment,Notes
DEVELOPER REVIEW,Progress,Construction Progress,"Ongoing construction showing active development","Drone and ground level",5-7s,MEDIUM,"Drone; Gimbal","Shows project is active and on schedule. Good for trust building."
DEVELOPER REVIEW,Trust,Certificates/Awards,"Display of developer certifications and awards","Static or slow pan",2-3s,MEDIUM,"Handheld","REI membership ISO certifications awards etc."
DEVELOPER REVIEW,Community,Existing Residents,"Existing residential area showing livability","Gimbal walk-through occupied areas",5-7s,MEDIUM,"Gimbal","Shows track record. Best during morning/evening activity times."

INVESTMENT REVIEW,Growth,Area Growth Evidence,"Before-after or development comparison showing growth","Side by side or drone showing development",5-7s,HIGH,"Drone; Graphics","Use Google Maps historical or collect before-after photos from developer"
INVESTMENT REVIEW,Growth,New Development Nearby,"New commercial or residential projects nearby","Drone showing construction activities",3-5s,HIGH,"Drone","Multiple new projects = area confidence indicator"
INVESTMENT REVIEW,Access,Infrastructure Development,"New roads tolls or public transport being built","Drone of infrastructure projects",5-7s,HIGH,"Drone","New infrastructure = guaranteed price increase"
INVESTMENT REVIEW,Access,Connectivity Map,"Visual showing distance to key points","Map graphic with routes highlighted",5-7s,HIGH,"Graphic overlay","Create in post-production with distance markers and drive time"
INVESTMENT REVIEW,Commercial,Commercial Zone Growth,"New malls offices or retail showing economic activity","Drone and ground level commercial area",5-7s,MEDIUM,"Drone; Gimbal","Commercial growth = residential demand increase"
INVESTMENT REVIEW,Commercial,Office/Business District,"Nearby office centers showing employment opportunity","Wide establishing shot",3-5s,MEDIUM,"Drone","Shows rental demand potential for investment buyers"
INVESTMENT REVIEW,Data,Price History Graphic,"Visual showing price appreciation over time","Screen recording or graphic animation",5-7s,HIGH,"Post-production","Create compelling price growth chart with source data"
INVESTMENT REVIEW,Data,ROI Calculation,"Visual breakdown of investment return","Graphic overlay with numbers",5-7s,HIGH,"Post-production","Compare: rental yield capital gain and total ROI"
INVESTMENT REVIEW,Demand,Population Growth,"Evidence of growing population and demand","Data graphic or visual of new communities",3-5s,MEDIUM,"Post-production","Census data or school enrollment data as proxy"
INVESTMENT REVIEW,Demand,Rental Market,"Evidence of rental demand in area","Listing screenshots or rental properties",3-5s,MEDIUM,"Screen recording","Show Airbnb/OLX listings and rental rates nearby"
TALKING HEAD,Education,Problem Statement,"Host presents the problem being discussed","Medium shot eye-level natural background",3-5s,HIGH,"Gimbal or tripod; Lapel mic","Clean background good lighting. Speak directly to camera with energy."
TALKING HEAD,Education,Solution Reveal,"Host presents the solution or tip","Same framing as problem with confident delivery",5-8s,HIGH,"Gimbal or tripod; Lapel mic","Change energy from problem (concern) to solution (confidence)"
TALKING HEAD,Marketing,Property Introduction,"Host introduces the property being reviewed","Medium shot with property visible behind",3-5s,HIGH,"Gimbal; Lapel mic","Stand in front of property gate or facade for context"
TALKING HEAD,Marketing,Key Selling Points,"Host highlights USP of property","Medium shot with gestures toward features",5-8s,HIGH,"Gimbal; Lapel mic","Point to actual features while explaining. Walk and talk style."
TALKING HEAD,CTA,Call To Action,"Host delivers the CTA to audience","Close-up medium with friendly expression",3-5s,HIGH,"Gimbal; Lapel mic","Warm genuine smile. Speak directly and clearly. End with pointing gesture."
TALKING HEAD,Entertainment,Comedy Setup,"Host delivers comedy premise","Medium or close-up with expressive face",3-5s,HIGH,"Tripod; Lapel mic","Exaggerated expressions for comedy. Hold beat for timing."
TALKING HEAD,Entertainment,Punchline Delivery,"Host delivers the punchline or twist","Same or tighter framing with reaction",2-3s,HIGH,"Tripod; Lapel mic","Quick cut timing. Reaction should be genuine feeling."
DRONE,Aerial,Full Cluster Overview,"High altitude overview showing entire development","Descending reveal or orbit",5-8s,HIGH,"Drone DJI Mini 3/Air 3","Fly at golden hour for best color. Check flight restrictions."
DRONE,Aerial,Unit Reveal,"Low altitude reveal of specific unit","Ascending reveal from ground up",3-5s,HIGH,"Drone","Start low behind trees or fence then rise to reveal unit"
DRONE,Aerial,Area Context,"High altitude showing surrounding area and connectivity","Slow pan or orbit showing context",5-7s,MEDIUM,"Drone","Show relationship between property and nearby amenities/roads"
DRONE,Aerial,Facility Overhead,"Directly overhead shot of pool/garden/facility","Static top-down or slow rotate",3-5s,MEDIUM,"Drone","Perfect for pools parks and symmetrical layouts"
DRONE,Tracking,Follow Shot,"Tracking someone walking or driving into property","Following from behind at 45-degree",5-8s,MEDIUM,"Drone","Creates immersive entry experience. Coordinate with talent."
