Date,Day,Area,Property,Content Produced,Arrival Time,Shooting Time,Estimated Finish,Shot Priority,Notes
2026-07-02,Thursday,Sawangan,"Aura Home; Guess The Price Content",Property Tour + Entertainment Quiz,07:30,08:00-11:30,12:00,"Earth tone facades; Natural material details; 3 different properties exterior for quiz; Timer graphic setup","Aura Home then quickly shoot 3 property exteriors for Guess The Price content. Keep timing tight on entertainment shoot."
2026-07-06,Monday,Kemang,"Kemang Verde Show House; Area B-Roll",Show House Tour + Area Review,07:30,08:00-13:00,13:30,"Full furnished show house; Smart home panel; Interior design details; Kemang area development; MRT route; New commercial","Book show house exclusive access morning slot. Then area B-roll for Kemang investment content. Professional attire required."
2026-07-07,Tuesday,Kemang,"Kemang Eminence Resort; Education Content",Resort Facility Tour + Education,08:00,08:30-13:00,13:30,"Infinity pool sunrise; Jacuzzi; Gym; Sauna; Spa; Yoga studio; Document checklist talking head","Early start for sunrise pool shots. Full facility tour. Education talking head at professional corner. Book facility access with management."
2026-07-08,Wednesday,Sawangan/Serpong,"The Ayase; Lake Home Serpong; Entertainment",Interior Tour + Waterfront + Entertainment,07:00,07:30-13:00,13:30,"Zen interior details; Lake view unit; Waterfront lifestyle; Agent life skit scenes","Long shooting day. Start Ayase (Sawangan) then Lake Home (Serpong). Entertainment content at Lake Home scenic area. Need extra batteries."
2026-07-09,Thursday,Serpong/Pamulang,"Lake Home Serpong; New Permata Residence; Kalimaya Park",Waterfront + Investment + Hidden Gem,07:00,07:30-12:30,13:00,"Lakeside unit morning light; Investment data overlay spots; Pamulang quiet streets; Developer office","Tight schedule 3 locations. Lake Home morning for water reflection. New Permata midday for investment. Kalimaya afternoon for hidden gem vibe."

2026-07-13,Monday,Sawangan/Depok,"Candi Aisyah at Garden; Telaga Kahuripan",Design Update + Kota Mandiri Tour,07:00,07:30-12:30,13:00,"Garden detail shots; Every unit garden; Township boulevard; Mall; School; Hospital; Full kawasan drone","Candi Aisyah morning garden shots. Telaga Kahuripan full township tour needs 2+ hours. Drone essential for scale."
2026-07-14,Tuesday,Pamulang,"The Brawijaya Pamulang; Education Content",Townhouse Premium + Education,07:30,08:00-11:30,12:00,"3-floor townhouse full tour; Rooftop view; Industrial details; Property terms talking head with graphics","Brawijaya 3-floor tour needs good stamina. Rooftop for education talking head with city view background. Bring term cards."
2026-07-15,Wednesday,Sawangan/Depok,"Svacasa Sawangan; Nuansa Indah Village",Eco Living + Family Facilities,07:00,07:30-12:00,12:30,"Eco features; Solar panel; Water system; Playground; Family facilities; Kids area; Jogging track","Svacasa eco-features early then Nuansa Indah family facilities. Get families using facilities if possible (golden hour weekday)."
2026-07-16,Thursday,Depok,"Grand Duta City; Entertainment Ekspektasi vs Realita",New Phase + Entertainment,07:30,08:00-11:30,12:00,"New phase modern design; Early bird promo; Entertainment skit before-after scenes","Grand Duta new phase then entertainment skit. Skit can be shot at show unit. Need 2 outfit changes for before-after."
2026-07-20,Monday,Depok/Sawangan,"The Philosophia; Gardenia dan Ever Green",Lifestyle + Green Living,07:00,07:30-12:00,12:30,"Architectural philosophy detail; Block themes; 2-hectare park morning; Jogging residents; Green atmosphere","Philosophy architectural details need good light. Gardenia park morning for joggers and fresh atmosphere. Golden hour important."
2026-07-21,Tuesday,Depok,"Martadinata Residence; Education KPR Tips",ROI Analysis + Education,07:30,08:00-11:00,11:30,"Location to campus; Station proximity; Kost potential; Talking head KPR approval tips","Martadinata proximity shots (campus station). Education content at neat looking spot. Bring whiteboard for KPR tips."
2026-07-22,Wednesday,Various,"The Avoria; Entertainment Funny Client",Exclusive Tour + Comedy Skit,08:00,08:30-12:00,12:30,"Exclusive 50-unit detail; Private club house; Comedy skit client situations; Multiple character setups","The Avoria exclusive access. Then comedy skit - need 2 actors/team members. Multiple outfit changes. Script rehearsal during drive."
2026-07-23,Thursday,Depok,"Premiere Promenade Night; Terra Estetic Town House",Night Shoot + Full Walkthrough,15:00,15:30-20:00,20:30,"SPECIAL LATE SHOOT - Premiere night ambiance; Lighting design; Terra Estetic rooftop sunset; Evening vibes","EXCEPTION: Late shoot for night content. Start 3PM with Terra Estetic for sunset rooftop. Then Premiere Promenade dusk-to-night transition."
2026-07-27,Monday,Sawangan,"Shila at Sawangan; Morizono at Garden Sawangan",Community + Japanese Update,07:00,07:30-12:00,12:30,"Community life; Residents activity; Taman Jepang completion; Maintenance detail; Living residents","Shila community feel - try to capture real residents. Morizono garden maintenance and completion details. Ask permission for resident shots."
2026-07-28,Tuesday,Sawangan/Serpong,"Paradise Resort City; Education Investasi",Pool Villa + Education Investment,07:00,07:30-12:00,12:30,"Private pool villa unit; Morning pool reflection; Tropical setting; Talking head room vs apartment data","Paradise Resort private pool unit - morning essential for reflections. Education content at resort lounge area for premium feel."
2026-07-29,Wednesday,Serpong/Sawangan,"Wangsa Serpong Phase 2; Nano Town Hills",New Phase + Compact Developer,07:30,08:00-12:30,13:00,"Phase 2 bigger units; Comparison old vs new; Smart design deep dive; Developer interview setup","Wangsa Serpong phase 2 comparison. Nano Town developer interview if available. Prep comparison graphics in advance."
2026-07-30,Thursday,Sawangan,"Assana Village; Entertainment POV Content",Value Tour + POV Drama,07:30,08:00-11:30,12:00,"Spec vs price comparison; Quality closeups; POV first time buyer reactions; Genuine reaction shots","Assana value showcase with price reveals. POV content needs genuine-feeling reactions. Practice expressions before shoot."

2026-08-03,Monday,Bogor,"The Pine; The Boulevard Bogor",Mountain View + Urban Bogor,06:30,07:00-12:30,13:00,"Mountain view morning clarity; Nature concept; Commercial corridor Boulevard; Urban development; Drone essential","Early start for clear mountain views. The Pine first for Gunung Salak view. The Boulevard urban commercial. Long drive - leave early."
2026-08-04,Tuesday,Kemang,"Kemang Verde Rooftop; Education Refinancing",Rooftop Tour + Education,08:00,08:30-12:00,12:30,"Rooftop garden morning; City skyline; Plants detail; Talking head refinancing at premium location","Kemang Verde rooftop morning for best light. Education content shot at rooftop with city backdrop. Professional attire."
2026-08-05,Wednesday,Kemang,"Kemang Eminence Resort; Entertainment Day in Life",Infinity Pool + Agent Life Content,06:00,06:30-12:00,12:30,"EARLY START - Sunrise infinity pool; Morning routine; Full day agent activities; Behind scenes content","Very early for sunrise pool shots. Day-in-life content continues throughout morning. Document real activities candidly."
2026-08-06,Thursday,Sawangan/Serpong,"The Ayase; Lake Home Serpong",Zen Feature + Lakeside Tour,07:00,07:30-12:30,13:00,"Zen garden morning dew; Meditation setup; Lake reflection morning; Lakeside unit interior; Nature sounds recording","Morning dew on zen garden. Lake reflection best before 9am. Record ambient nature sounds for reels background audio."
2026-08-10,Monday,Depok/Sawangan,"New Permata Residence; Svacasa Sawangan",Ready Stock + Eco Cluster,07:30,08:00-12:30,13:00,"5 remaining units tour; Ready condition detail; Eco cluster full features; Solar system; Water recycling","New Permata last units urgency content. Svacasa eco deep dive. Need access to utility rooms for eco systems."
2026-08-11,Tuesday,Depok,"Grand Duta City; Education Hidden Costs",Hook Unit + Cost Education,07:30,08:00-11:30,12:00,"Corner unit premium angles; Extra garden area; Hook unit benefits; Education talking head costs breakdown","Grand Duta hook/corner units. Education about hidden costs - use calculator and breakdown cards. Sales gallery backdrop."
2026-08-12,Wednesday,Depok,"Nuansa Indah Village; Entertainment KPR Meme",Family Focus + Comedy,07:30,08:00-11:30,12:00,"Family-oriented layout; Child-safe features; Garden for kids; KPR stages comedy skit","Nuansa Indah family features. Comedy skit about KPR stages - need expressive acting. Shoot in sequence for efficiency."
2026-08-13,Thursday,Bogor/Depok,"Telaga Kahuripan Township; The Philosophia Clubhouse",Full Township + Clubhouse,07:00,07:30-13:00,13:30,"30-min township coverage; All facilities; Clubhouse premium; Gym equipment; Pool; Drone full kawasan","Long shoot - Telaga Kahuripan full township needs extensive coverage. The Philosophia clubhouse tour. Maximum drone battery needed."
2026-08-17,Monday,Depok/Overview,"Premiere Promenade Best Seller; Area Overview Shots",Best Unit + Top 5 Area,07:30,08:00-12:00,12:30,"Best seller type showcase; Why popular explanation; 5 area overview shots (Depok Sawangan Serpong Bogor Kemang)","Premiere best seller then drive to 5 different area markers for Top 5 content. Plan efficient route for area shots."
2026-08-18,Tuesday,Sawangan,"Morizono Seasonal; Education Rumah Kedua",Rainy Season + Education,07:30,08:00-11:00,11:30,"Garden in rain/overcast (authentic); Green lush vegetation; Talking head investment strategy second home","Morizono garden looks amazing in overcast/light rain. Embrace weather for authentic seasonal content. Education at covered area."
2026-08-19,Wednesday,Various,"Paradise Resort vs Kemang Eminence; Entertainment Quiz",Comparison + Property IQ,08:00,08:30-13:00,13:30,"Both resort facilities comparison; Pool vs pool; Amenities vs amenities; Quiz setup props; Score cards","Long shoot - 2 premium locations for comparison. Quiz content needs props (score cards timer). Plan efficient route Kemang to resort."
2026-08-20,Thursday,Sawangan,"Hcity Smart Demo; Aura Home Vision; Education Semester Review",Smart Home + Vision + Wrap,07:30,08:00-12:30,13:00,"Full smart home demo; App control; Automation showcase; Developer master plan; Semester review talking head","Hcity coordinate with developer for full smart home demo. Aura Home developer vision interview if possible. Wrap content at scenic spot."
