Week,Date,Day,Content Pillar,Content Type,Property Name,Topic,Reel Title,Hook,CTA,Shooting Date,Status
2,2026-06-10,Wednesday,EDUCATION,SHM vs HGB,-,Perbedaan Sertifikat Rumah,"SHM vs HGB: Jangan Salah Pilih Sertifikat Rumah!","Banyak yang beli rumah tanpa cek sertifikat... ini bedanya SHM dan HGB.","Simpan video ini sebelum kamu tanda tangan AJB!",2026-06-10,Scheduled
2,2026-06-10,Wednesday,MARKETING,Property Tour,Nano Town Hills,Townhouse Compact Modern,"Nano Town Hills: Rumah Mungil Harga Mini Desain Maksimal","Rumah ini cuma 300 jutaan... tapi designnya bikin kamu gak percaya.","Komen INFO untuk detail unit Nano Town Hills.",2026-06-10,Scheduled
2,2026-06-11,Thursday,MARKETING,Property Tour,Hcity Sawangan,Smart Home Sawangan,"Hcity Sawangan: Rumah Smart Home Pertama di Sawangan","Rumah ini bisa kamu kontrol dari HP... mulai dari lampu sampai pintu!","DM kata HCITY untuk jadwal survey.",2026-06-11,Scheduled
2,2026-06-11,Thursday,ENTERTAINING,Property Quiz,-,Tebak Harga Rumah,"Guess The Price: Tebak Harga 3 Rumah Ini!","Coba tebak... rumah mana yang paling mahal dari 3 ini?","Tulis jawaban kamu di komentar! Follow untuk quiz lainnya.",2026-06-11,Scheduled
2,2026-06-12,Friday,MARKETING,Investment Opportunity,"The Pine vs The Boulevard Bogor",Investasi Area Bogor,"The Pine vs The Boulevard Bogor: Mana Investasi Terbaik di Bogor?","Bogor lagi naik daun... tapi dari 2 cluster ini mana yang lebih cuan?","Komen INVESTASI untuk konsultasi gratis.",2026-06-12,Scheduled
2,2026-06-12,Friday,EDUCATION,DP Calculation,-,Cara Hitung DP Rumah,"DP Rumah Gak Harus 20%! Ini Cara Cerdasnya","Masih mikir DP rumah harus ratusan juta? Ada cara lain...","Simpan dan share ke teman yang mau beli rumah pertama!",2026-06-12,Scheduled

3,2026-06-15,Monday,MARKETING,Property Tour,Martadinata Residence,Hunian Strategis Depok,"Martadinata Residence: 15 Menit ke Stasiun Tapi Harga Masih Waras","Lokasi rumah ini 15 menit ke stasiun... cicilannya mulai 3 jutaan.","Komen INFO untuk price list Martadinata Residence.",2026-06-15,Scheduled
3,2026-06-15,Monday,MARKETING,Cluster Review,The Avoria,Cluster Baru Premium,"The Avoria: Cluster Baru yang Langsung Sold Out di Minggu Pertama","Cluster ini baru launch tapi unitnya tinggal sedikit... ini alasannya.","DM kata AVORIA untuk booking unit tersisa.",2026-06-15,Scheduled
3,2026-06-16,Tuesday,MARKETING,Property Tour,Kemang Verde,Hunian Mewah Kemang,"Kemang Verde: Kalau Mau Tinggal di Kemang Tanpa Kantong Jebol","Tinggal di area Kemang bukan mimpi lagi... ini buktinya.","Komen KEMANG untuk info lengkap Kemang Verde.",2026-06-16,Scheduled
3,2026-06-16,Tuesday,MARKETING,Developer Review,Kemang Eminence Resort,Resort Living Concept,"Kemang Eminence Resort: Developer Ini Bikin Rumah Rasa Hotel","Developer ini konsepnya beda... rumahnya kayak staycation setiap hari.","DM SURVEY untuk jadwal kunjungan Kemang Eminence.",2026-06-16,Scheduled
3,2026-06-17,Wednesday,EDUCATION,Property Scams,-,Red Flag Developer Nakal,"5 Red Flag Developer Nakal yang Sering Diabaikan Pembeli","Developer nakal punya pola yang sama... cek 5 tanda ini sebelum transfer!","Simpan video ini! Jangan sampai kena tipu developer bodong.",2026-06-17,Scheduled
3,2026-06-17,Wednesday,MARKETING,Property Tour,The Ayase,Konsep Minimalis Jepang,"The Ayase: Rumah Minimalis Jepang yang Bikin Kamu Gak Mau Keluar","Minimalis tapi mewah... ini definisi rumah Jepang modern.","Komen AYASE untuk info harga dan promo.",2026-06-17,Scheduled
3,2026-06-18,Thursday,MARKETING,House Walkthrough,New Permata Residence,Rumah Ready Stock,"New Permata Residence: Rumah Ready Stock Langsung Huni!","Gak mau nunggu 2 tahun? Rumah ini ready stock langsung bisa ditempati.","DM kata READY untuk list rumah ready stock lainnya.",2026-06-18,Scheduled
3,2026-06-18,Thursday,ENTERTAINING,Relatable Property Memes,-,Meme Beli Rumah,"Ekspektasi vs Realita Beli Rumah Pertama","Ekspektasi: survey 1 rumah langsung deal. Realita: survey 20 rumah masih galau.","Relate? Follow Estetika Property biar surveynya gak sia-sia!",2026-06-18,Scheduled
3,2026-06-19,Friday,MARKETING,Property Comparison,"Kalimaya Park Pamulang vs Lake Home Serpong",Cluster Selatan Jakarta,"Kalimaya Park vs Lake Home: Battle Cluster Selatan Jakarta!","Dua cluster ini sama-sama di Selatan Jakarta... mana yang lebih worth?","Komen pilihan kamu! DM INFO untuk detail harga.",2026-06-19,Scheduled
3,2026-06-19,Friday,EDUCATION,First Home Buyer Guide,-,Checklist Rumah Pertama,"Checklist Lengkap Sebelum Beli Rumah Pertama","Jangan sign anything sebelum cek 7 hal ini... nomor 5 sering dilupain!","Simpan checklist ini! Follow untuk tips properti lainnya.",2026-06-19,Scheduled

4,2026-06-22,Monday,MARKETING,Property Tour,Premiere Promenade,Update Unit Baru,"Premiere Promenade Update: Tipe Baru yang Lebih Luas!","Premiere Promenade baru launch tipe baru... dan luasnya bikin speechless.","Komen PROMO untuk info early bird Premiere Promenade.",2026-06-22,Scheduled
4,2026-06-22,Monday,EDUCATION,Property Taxes,-,Pajak Jual Beli Rumah,"Pajak Beli Rumah yang Wajib Kamu Tahu Sebelum Deal","Banyak yang kaget pas tahu total biaya beli rumah bukan cuma harga unit...","Simpan video ini sebelum kamu deal rumah!",2026-06-22,Scheduled
4,2026-06-23,Tuesday,MARKETING,Property Tour,Shila at Sawangan,Tipe Baru Shila,"Shila at Sawangan: Tipe Premium yang Baru Release","Tipe baru Shila ini lebih luas 30%... tapi harganya cuma naik sedikit.","DM kata SHILA untuk booking viewing unit baru.",2026-06-23,Scheduled
4,2026-06-23,Tuesday,MARKETING,Area Review,Sawangan Area,Potensi Area Sawangan,"Kenapa Sawangan Bakal Jadi Bintaro Selanjutnya","Area ini 5 tahun lalu masih sepi... sekarang developer besar masuk semua.","Follow Estetika Property untuk insight area properti.",2026-06-23,Scheduled
4,2026-06-24,Wednesday,MARKETING,Investment Opportunity,Svacasa Sawangan,Investasi di Sawangan,"Svacasa Sawangan: Investasi Rumah yang Naik 20% dalam Setahun","Harga rumah di sini naik 20% setahun... masih mau nunggu?","Komen INVESTASI untuk konsultasi properti gratis.",2026-06-24,Scheduled
4,2026-06-24,Wednesday,ENTERTAINING,Rich vs Smart Property Buyer,-,Beli Rumah Gengsi vs Cerdas,"Rich Buyer vs Smart Buyer: Beda Cara Pilih Rumah","Rich buyer pilih yang mahal. Smart buyer pilih yang valuenya naik.","Kamu tim yang mana? Follow untuk tips beli rumah cerdas!",2026-06-24,Scheduled
4,2026-06-25,Thursday,MARKETING,Property Tour,Terra Estetic Town House,Townhouse Estetik,"Terra Estetic Town House: Definisi Townhouse yang Aesthetic","Townhouse ini namanya aja udah Estetic... tunggu sampai lihat dalamnya.","Komen TERRA untuk info harga Terra Estetic.",2026-06-25,Scheduled
4,2026-06-25,Thursday,MARKETING,Facility Showcase,Grand Duta City,Fasilitas Lengkap Depok,"Grand Duta City: Fasilitasnya Selengkap Mini City","Club house jogging track kolam renang... semua ada di satu cluster.","DM INFO untuk jadwal survey Grand Duta City.",2026-06-25,Scheduled
4,2026-06-26,Friday,EDUCATION,Home Buying Tips,-,Negosiasi Harga Rumah,"3 Teknik Negosiasi Harga Rumah yang Terbukti Berhasil","Developer gak akan kasih tahu ini... tapi kamu bisa nego dengan cara ini.","Simpan tips ini! Share ke teman yang lagi cari rumah.",2026-06-26,Scheduled
4,2026-06-26,Friday,ENTERTAINING,Trending Audio Adaptations,-,Trend Rumah Impian,"Rumah Impian Gen Z vs Milenial vs Boomer","Gen Z mau rumah aesthetic. Milenial mau rumah strategis. Boomer mau rumah luas.","Kamu masuk kategori mana? Komen di bawah!",2026-06-26,Scheduled

5,2026-06-29,Monday,MARKETING,Property Tour,Morizono at Garden Sawangan,Japanese Garden Concept,"Morizono: Taman Jepang Asli di Tengah Sawangan","Ini bukan Jepang... ini Sawangan. Tapi taman rumahnya bikin lupa.","Komen MORIZONO untuk info promo bulan ini.",2026-06-29,Scheduled
5,2026-06-29,Monday,MARKETING,Cluster Review,Paradise Resort City,Resort Living Update,"Paradise Resort City: Update Pembangunan dan Unit Tersisa","Progress pembangunan Paradise Resort udah 80%... unit tersisa tinggal segini.","DM PARADISE untuk booking unit terakhir.",2026-06-29,Scheduled
5,2026-06-30,Tuesday,MARKETING,Property Tour,Wangsa Serpong,Premium Serpong Living,"Wangsa Serpong: Premium Living yang Gak Bikin Kantong Bolong","Serpong identik dengan mahal? Wangsa Serpong buktiin sebaliknya.","Komen WANGSA untuk info harga dan cicilan.",2026-06-30,Scheduled
5,2026-06-30,Tuesday,EDUCATION,Mortgage Education,-,Simulasi KPR Lengkap,"Simulasi KPR: Gaji 10 Juta Bisa Beli Rumah Berapa?","Gaji 10 juta bisa cicil rumah berapa? Ini simulasi lengkapnya.","Simpan video ini! DM kami untuk simulasi personal.",2026-06-30,Scheduled
5,2026-07-01,Wednesday,MARKETING,Property Tour,Nano Town Hills,Compact Living Trend,"Nano Town Hills: Tren Rumah Compact yang Lagi Booming","Rumah compact bukan berarti sempit... lihat gimana Nano Town desain ruangnya.","Komen NANO untuk info unit tersedia.",2026-07-01,Scheduled
5,2026-07-01,Wednesday,MARKETING,Developer Review,Assana Village,Developer Baru Potensial,"Assana Village: Developer Baru yang Langsung Bikin Gebrakan","Developer baru tapi kualitasnya bikin developer lama ketar-ketir.","DM ASSANA untuk jadwal kunjungan.",2026-07-01,Scheduled
5,2026-07-02,Thursday,ENTERTAINING,Guess The Property Price,-,Tebak Harga Challenge,"Guess The Price Challenge: Rumah Sawangan Edition","3 rumah di Sawangan... coba tebak mana yang paling mahal!","Tulis jawaban di komentar! Follow untuk challenge lainnya.",2026-07-02,Scheduled
5,2026-07-02,Thursday,MARKETING,House Walkthrough,Aura Home,Rumah Minimalis Elegan,"Aura Home: Rumah Minimalis yang Auranya Beda","Rumah ini namanya Aura... dan beneran punya aura yang bikin betah.","Komen AURA untuk price list lengkap.",2026-07-02,Scheduled
5,2026-07-03,Friday,MARKETING,Property Comparison,"The Pine vs The Boulevard Bogor",Investasi Bogor Battle,"The Pine vs The Boulevard: Battle Investasi Bogor 2026","Dua proyek premium di Bogor... satu modern satu nature. Kamu pilih mana?","Komen pilihan kamu! DM untuk konsultasi gratis.",2026-07-03,Scheduled
5,2026-07-03,Friday,EDUCATION,Developer Due Diligence,-,Cek Legalitas Developer,"Cara Cek Legalitas Developer Sebelum Bayar Booking Fee","Jangan transfer booking fee sebelum cek 5 dokumen ini!","Simpan video ini! Jangan sampai uangmu hilang.",2026-07-03,Scheduled

6,2026-07-06,Monday,MARKETING,Property Tour,Kemang Verde,Luxury Kemang Update,"Kemang Verde: Unit Show House yang Bikin Jatuh Cinta","Show house Kemang Verde baru dibuka... dan interiornya next level.","DM KEMANG untuk jadwal visit show house.",2026-07-06,Scheduled
6,2026-07-06,Monday,MARKETING,Area Review,Kemang Area,Potensi Investasi Kemang,"Kemang 2026: Masih Worth Buat Investasi Properti?","Kemang katanya udah saturated... tapi data menunjukkan sebaliknya.","Follow Estetika Property untuk insight investasi properti.",2026-07-06,Scheduled
6,2026-07-07,Tuesday,MARKETING,Property Tour,Kemang Eminence Resort,Resort Concept Deep Dive,"Kemang Eminence Resort: Full Tour Fasilitas Resort","Kolam renang infinity pool gym sauna... ini rumah atau resort?","Komen RESORT untuk info harga Kemang Eminence.",2026-07-07,Scheduled
6,2026-07-07,Tuesday,EDUCATION,Property Checklist,-,Dokumen Wajib Beli Rumah,"7 Dokumen yang Wajib Kamu Minta Sebelum Beli Rumah","Developer yang bener pasti kasih 7 dokumen ini... kalau gak ada RED FLAG!","Simpan checklist ini sekarang!",2026-07-07,Scheduled
6,2026-07-08,Wednesday,MARKETING,Property Tour,The Ayase,Interior Design Focus,"The Ayase: Interior Jepang Minimalis yang Bikin Tenang","Setiap sudut rumah ini didesain untuk bikin kamu rileks.","Komen AYASE untuk info unit tersedia.",2026-07-08,Scheduled
6,2026-07-08,Wednesday,ENTERTAINING,Things Property Agents Hear,-,Keluhan Lucu Client,"5 Hal yang Selalu Didengar Agen Properti Setiap Hari","Client: Budget 500 juta tapi mau rumah kayak di Pinterest...","Relate? Tag temen kamu yang kayak gini! Follow untuk konten seru!",2026-07-08,Scheduled
6,2026-07-09,Thursday,MARKETING,Property Tour,Lake Home Serpong,Waterfront Living,"Lake Home Serpong: Bangun Pagi Langsung View Danau","Bayangin tiap pagi buka jendela langsung view danau...","DM LAKE untuk info harga Lake Home Serpong.",2026-07-09,Scheduled
6,2026-07-09,Thursday,MARKETING,Investment Opportunity,New Permata Residence,Capital Gain Analysis,"New Permata Residence: Sudah Naik 25% dari Harga Launch","Yang beli di awal udah untung 25%... masih mau nunggu?","Komen INVESTASI untuk konsultasi properti gratis.",2026-07-09,Scheduled
6,2026-07-10,Friday,EDUCATION,Real Estate Trends,-,Tren Properti 2026,"5 Tren Properti 2026 yang Wajib Kamu Tahu","Tren properti 2026 berubah drastis... ini 5 hal yang harus kamu perhatiin.","Follow Estetika Property untuk update tren properti!",2026-07-10,Scheduled
6,2026-07-10,Friday,MARKETING,Property Tour,Kalimaya Park Pamulang,Pamulang Hidden Gem,"Kalimaya Park: Hidden Gem di Pamulang yang Belum Banyak Orang Tahu","Cluster ini masih under the radar... tapi gak akan lama.","Komen KALIMAYA untuk info sebelum harga naik!",2026-07-10,Scheduled

7,2026-07-13,Monday,MARKETING,Property Tour,Candi Aisyah at Garden,Design Update,"Candi Aisyah: Rumah dengan Garden View di Setiap Unit","Setiap unit di sini punya garden view... bukan cuma tipe mahal.","Komen CANDI untuk info promo bulan Juli.",2026-07-13,Scheduled
7,2026-07-13,Monday,MARKETING,Cluster Review,Telaga Kahuripan,Kota Mandiri Bogor,"Telaga Kahuripan: Mini City di Bogor yang Punya Segalanya","Kota mandiri ini punya mall sekolah RS... semua dalam satu kawasan.","DM TELAGA untuk jadwal survey kawasan.",2026-07-13,Scheduled
7,2026-07-14,Tuesday,MARKETING,Property Tour,The Brawijaya Pamulang,Townhouse Premium,"The Brawijaya: Townhouse yang Bikin Kamu Gak Perlu ke BSD","Kenapa harus ke BSD kalau di Pamulang ada townhouse sekeren ini?","Komen BRAWIJAYA untuk info cicilan.",2026-07-14,Scheduled
7,2026-07-14,Tuesday,EDUCATION,Property Terms Explained,-,Istilah Properti Penting,"10 Istilah Properti yang WAJIB Kamu Tahu Sebelum Beli Rumah","AJB PPJB SHM HGB BPHTB... bingung? Ini penjelasan simpelnya.","Simpan glossary ini! Share ke yang lagi cari rumah.",2026-07-14,Scheduled
7,2026-07-15,Wednesday,MARKETING,Property Tour,Svacasa Sawangan,Eco Living Concept,"Svacasa Sawangan: Rumah Eco-Friendly Pertama di Sawangan","Rumah ini hemat listrik 30%... dan desainnya tetap premium.","Komen SVACASA untuk info detail dan promo.",2026-07-15,Scheduled
7,2026-07-15,Wednesday,MARKETING,Facility Showcase,Nuansa Indah Village,Fasilitas Keluarga,"Nuansa Indah Village: Fasilitas Family-Friendly Terlengkap","Playground kolam anak taman jogging... ini surganya keluarga muda.","DM NUANSA untuk jadwal survey fasilitas.",2026-07-15,Scheduled
7,2026-07-16,Thursday,ENTERTAINING,Property Expectations vs Reality,-,Ekspektasi Rumah Baru,"Ekspektasi vs Realita Punya Rumah Baru","Ekspektasi: rumah selalu bersih estetik. Realita: 1 minggu udah berantakan.","Relate banget? Tag yang baru pindah rumah!",2026-07-16,Scheduled
7,2026-07-16,Thursday,MARKETING,Property Tour,Grand Duta City,New Phase Launch,"Grand Duta City: Phase Baru dengan Tipe yang Lebih Modern","Phase baru Grand Duta lebih modern... dan harganya masih early bird.","Komen GRAND untuk info early bird phase baru.",2026-07-16,Scheduled
7,2026-07-17,Friday,EDUCATION,Property Investment,-,Passive Income dari Properti,"Cara Dapat Passive Income dari Properti Pertamamu","Punya 1 rumah bisa hasilkan 2-5 juta per bulan... ini caranya.","Simpan strategi ini! DM untuk konsultasi investasi.",2026-07-17,Scheduled
7,2026-07-17,Friday,MARKETING,Developer Review,Hcity Sawangan,Smart Developer,"Hcity: Developer yang Pionir Smart Home di Sawangan","Developer ini bawa teknologi smart home ke rumah 500 jutaan.","Follow untuk review developer terpercaya lainnya.",2026-07-17,Scheduled

8,2026-07-20,Monday,MARKETING,Property Tour,The Philosophia,Lifestyle Living,"The Philosophia: Hunian yang Punya Filosofi di Setiap Sudutnya","Nama cluster ini bukan asal... setiap sudutnya punya makna.","Komen PHILOSOPHIA untuk info unit tersisa.",2026-07-20,Scheduled
8,2026-07-20,Monday,EDUCATION,KPR Tips,-,Tips Lolos KPR,"5 Tips Biar Pengajuan KPR Kamu Langsung ACC Bank","KPR kamu ditolak? Kemungkinan besar karena 5 hal ini.","Simpan tips ini sebelum ajukan KPR!",2026-07-20,Scheduled
8,2026-07-21,Tuesday,MARKETING,Property Tour,Gardenia dan Ever Green,Green Living Concept,"Gardenia & Ever Green: Rumah dengan Udara Paling Segar di Depok","RTH di cluster ini 40% dari total lahan... udaranya beda banget.","DM GREEN untuk jadwal survey.",2026-07-21,Scheduled
8,2026-07-21,Tuesday,MARKETING,Investment Opportunity,Martadinata Residence,ROI Analysis,"Martadinata Residence: ROI Terbaik untuk Kost-kostan","Lokasi dekat kampus dan stasiun... perfect untuk investasi kos.","Komen ROI untuk analisis investasi gratis.",2026-07-21,Scheduled
8,2026-07-22,Wednesday,MARKETING,Property Tour,The Avoria,Exclusive Living,"The Avoria: Cluster Eksklusif dengan Hanya 50 Unit","Cuma 50 unit di seluruh cluster... privasi dan eksklusivitasnya terjamin.","DM AVORIA untuk info unit tersisa.",2026-07-22,Scheduled
8,2026-07-22,Wednesday,ENTERTAINING,Funny Client Situations,-,Cerita Lucu Agen Properti,"Client Bilang Budget Unlimited... Ternyata...","POV: Client bilang budgetnya unlimited tapi nanya ada yang di bawah 300 juta gak.","Tag temen agen properti kamu! Follow untuk konten relate!",2026-07-22,Scheduled
8,2026-07-23,Thursday,MARKETING,Property Tour,Premiere Promenade,Night Ambiance,"Premiere Promenade di Malam Hari: Vibes-nya Beda!","Cluster ini makin cantik kalau malam... lightingnya bikin beda.","Komen MALAM untuk lihat video full night tour.",2026-07-23,Scheduled
8,2026-07-23,Thursday,MARKETING,House Walkthrough,Terra Estetic Town House,Full Walkthrough,"Terra Estetic: Full Walkthrough dari Pintu Masuk Sampai Rooftop","Townhouse ini punya rooftop... dan viewnya bikin gak mau turun.","DM TERRA untuk info booking.",2026-07-23,Scheduled
8,2026-07-24,Friday,EDUCATION,Property Scams,-,Modus Penipuan Properti 2026,"3 Modus Penipuan Properti 2026 yang Makin Canggih","Modusnya makin canggih... bahkan agen berpengalaman bisa ketipu.","Simpan dan share biar orang terdekatmu gak jadi korban!",2026-07-24,Scheduled
8,2026-07-24,Friday,MARKETING,Area Review,Depok Area,Potensi Depok 2026,"Kenapa Depok Jadi Primadona Properti 2026","LRT Jabodebek bikin Depok naik kelas... ini dampaknya ke harga properti.","Follow untuk update properti Depok terlengkap!",2026-07-24,Scheduled

9,2026-07-27,Monday,MARKETING,Property Tour,Shila at Sawangan,Community Living,"Shila at Sawangan: Komunitas Perumahan Paling Aktif di Depok","Tetangganya ramah komunitasnya aktif... ini bukan cuma rumah tapi home.","Komen SHILA untuk info komunitas dan harga.",2026-07-27,Scheduled
9,2026-07-27,Monday,MARKETING,Cluster Review,Morizono at Garden Sawangan,Japanese Garden Update,"Morizono Update: Taman Jepangnya Udah Jadi dan Hasilnya...","Taman Jepangnya udah final... dan hasilnya beyond expectation.","DM MORIZONO untuk jadwal visit taman.",2026-07-27,Scheduled
9,2026-07-28,Tuesday,MARKETING,Property Tour,Paradise Resort City,Pool Villa Tour,"Paradise Resort: Tour Villa dengan Private Pool","Unit ini punya private pool... dan harganya masih di bawah 2M.","Komen VILLA untuk info tipe private pool.",2026-07-28,Scheduled
9,2026-07-28,Tuesday,EDUCATION,Property Investment,-,Investasi Rumah vs Apartemen,"Investasi 2026: Rumah atau Apartemen? Data Bicara!","Data 5 tahun terakhir menunjukkan pemenangnya jelas... ini hasilnya.","Simpan analisis ini! DM untuk konsultasi personal.",2026-07-28,Scheduled
9,2026-07-29,Wednesday,MARKETING,Property Tour,Wangsa Serpong,New Cluster Phase,"Wangsa Serpong Phase 2: Lebih Besar Lebih Modern","Phase 2 Wangsa Serpong 20% lebih luas dengan harga yang masih masuk akal.","Komen WANGSA2 untuk info phase 2.",2026-07-29,Scheduled
9,2026-07-29,Wednesday,MARKETING,Developer Review,Nano Town Hills,Compact Developer,"Developer Nano Town: Inovasi Rumah Compact yang Genius","Developer ini bikin rumah 36m2 terasa seperti 60m2... ini rahasianya.","DM NANO untuk jadwal lihat langsung.",2026-07-29,Scheduled
9,2026-07-30,Thursday,ENTERTAINING,POV House Hunting,-,First Time Buyer Drama,"POV: Pertama Kali Survey Rumah dan Langsung Jatuh Cinta","POV: Kamu masuk show unit dan langsung WhatsApp semua grup...","Pernah kayak gini? Follow biar next surveynya bareng kita!",2026-07-30,Scheduled
9,2026-07-30,Thursday,MARKETING,Property Tour,Assana Village,Value for Money,"Assana Village: Rumah 400 Jutaan dengan Spek Rumah 700 Juta","Speknya di atas harga... ini bukan promo tapi emang segitu.","Komen ASSANA untuk info lengkap.",2026-07-30,Scheduled
9,2026-07-31,Friday,MARKETING,Property Comparison,"Hcity Sawangan vs Aura Home",Smart Home Battle,"Hcity vs Aura Home: Battle Rumah Smart di Sawangan","Dua rumah smart home di area yang sama... fiturnya ternyata beda jauh.","Komen pilihan kamu! DM untuk detail perbandingan.",2026-07-31,Scheduled
9,2026-07-31,Friday,EDUCATION,Home Buying Tips,-,Waktu Survey Rumah,"Waktu Terbaik Survey Rumah Itu Bukan Weekend!","Semua orang survey weekend... padahal harusnya weekday. Ini alasannya.","Simpan tips ini! Follow untuk life hack properti.",2026-07-31,Scheduled

10,2026-08-03,Monday,MARKETING,Property Tour,The Pine,Mountain View Living,"The Pine: Rumah dengan View Gunung Salak dari Balkon","Buka jendela langsung view Gunung Salak... ini bukan villa ini rumahmu.","Komen PINE untuk info harga The Pine.",2026-08-03,Scheduled
10,2026-08-03,Monday,MARKETING,Investment Opportunity,The Boulevard Bogor,Bogor Growth Analysis,"The Boulevard Bogor: Harga Masih Low Tapi Area Mau Meledak","Tol baru dan kereta cepat bikin area ini siap meledak.","DM BOULEVARD untuk analisis investasi.",2026-08-03,Scheduled
10,2026-08-04,Tuesday,MARKETING,Property Tour,Kemang Verde,Rooftop Garden Tour,"Kemang Verde: Rooftop Garden yang Bikin Lupa di Jakarta","Rooftop garden di tengah Jakarta Selatan... this is the life.","Komen VERDE untuk jadwal tour rooftop.",2026-08-04,Scheduled
10,2026-08-04,Tuesday,EDUCATION,Mortgage Education,-,Refinancing KPR,"Cara Refinancing KPR Biar Cicilan Lebih Ringan","Cicilan KPR bisa turun 20% dengan refinancing... ini step-nya.","Simpan video ini! DM untuk bantuan refinancing.",2026-08-04,Scheduled
