Content ID,Pillar,Property,Reel Title,Hook,Body Script,B-Roll Shot List,Drone Shot List,Talking Head Script,CTA,Estimated Duration
W1-FRI-01,MARKETING,"Grand Duta City vs Nuansa Indah Village","Grand Duta City vs Nuansa Indah Village: Mana yang Lebih Worth It?","Dua cluster ini sama-sama di Depok... tapi perbedaannya bikin kamu mikir ulang.","[PROBLEM] Bingung pilih antara 2 cluster yang lokasi dan harganya mirip. [SOLUTION] Kita breakdown dari 5 aspek: lokasi akses fasilitas desain dan harga. [COMPARISON] Grand Duta unggul di fasilitas dan luas kawasan. Nuansa Indah unggul di harga dan kedekatan dengan pusat kota. [VERDICT] Kalau prioritas fasilitas pilih Grand Duta. Kalau prioritas lokasi pilih Nuansa Indah.","Side by side gate kedua cluster; Comparison fasilitas; Jalan akses masing-masing; Interior show unit keduanya; Graphic comparison overlay; Area sekitar","Aerial kedua cluster (split); Bird eye comparison area; Tracking shot jalan masuk keduanya","Dua cluster di Depok harga mirip lokasi mirip... tapi karakter beda banget. Grand Duta City versus Nuansa Indah Village. Mana yang lebih worth it? Kita bedah satu-satu!","Komen pilihan kamu di kolom komentar! DM INFO untuk detail.",30s
W1-FRI-02,EDUCATION,-,"Waktu Terbaik Beli Rumah Itu Bukan Januari... Tapi Ini","Semua bilang beli rumah di awal tahun... padahal waktu terbaik itu...","[PROBLEM] Banyak yang percaya mitos beli rumah di awal tahun paling bagus. [SOLUTION] Data menunjukkan waktu terbaik adalah akhir kuartal Q3-Q4 saat developer kejar target. [EXAMPLE] Diskon bisa sampai 10-15% plus free upgrade dan bonus furniture. [BENEFIT] Timing yang tepat bisa menghemat puluhan hingga ratusan juta.","Calendar graphic; Data chart penjualan properti; Screenshot promo akhir tahun; Comparison harga; Timeline terbaik; Ilustrasi saving","N/A","Mau tahu rahasia beli rumah murah? Timingnya. Bukan Januari seperti yang banyak orang bilang. Tapi akhir Q3 sampai Q4. Kenapa? Karena developer lagi kejar target tahunan. Diskonnya bisa gila-gilaan!","Simpan video ini! Follow untuk tips properti setiap hari.",25s

W2-MON-01,MARKETING,Morizono at Garden Sawangan,"Morizono: Rumah Konsep Jepang yang Bikin Betah di Rumah","Konsep Jepangnya bukan cuma di facade... tapi sampai ke detail interiornya.","[PROBLEM] Banyak cluster yang klaim konsep Jepang tapi cuma di tampilan luar. [SOLUTION] Morizono benar-benar mengaplikasikan filosofi Japanese living dari layout hingga material. [USP] Engawa space tatami room natural ventilation dan zen garden di setiap unit. [BENEFIT] Ketenangan dan keharmonisan khas Jepang di rumahmu sendiri.","Entrance gate Japanese style; Zen garden; Engawa space; Tatami corner; Natural wood detail; Sliding door; Ventilasi alami; Living room minimalis; Taman Jepang komunal","Aerial cluster layout Jepang; Bird eye zen garden; Tracking shot koridor; Reveal taman dari atas","Banyak cluster bilang konsep Jepang tapi cuma di cat doang. Morizono beda. Dari layout sampai material benar-benar Japanese philosophy. Ada engawa ada tatami ada zen garden. Ini real Japanese living!","Komen MORIZONO untuk info harga dan cicilan.",30s
W2-MON-02,MARKETING,"Gardenia dan Ever Green","Gardenia & Ever Green: 2 Cluster yang Bikin Udara Rumahmu Beda","Cluster ini punya taman seluas 2 hektar... dan harganya masih di bawah 1M.","[PROBLEM] Tinggal di Jabodetabek udara panas dan polusi bikin tidak nyaman. [SOLUTION] Gardenia dan Ever Green menghadirkan RTH seluas 2 hektar di dalam kawasan. [USP] Dua cluster dengan karakter berbeda tapi connected dengan taman besar. [BENEFIT] Udara segar setiap hari dan lingkungan yang asri untuk keluarga.","Gerbang Gardenia; Gerbang Ever Green; Taman 2 hektar; Pohon rindang; Jogging track; Playground; Facade rumah dengan tanaman; Interior dengan natural light","Aerial view 2 hektar taman; Bird eye kedua cluster; Tracking shot jogging track; Panoramic sunset","Coba bayangkan punya taman 2 hektar di depan rumah. Gardenia dan Ever Green ini connected dan di tengahnya ada taman seluas itu. Udaranya literally beda dari cluster lain!","DM kami kata SURVEY untuk jadwal kunjungan.",30s
W2-TUE-01,MARKETING,Paradise Resort City,"Paradise Resort City: Fasilitasnya Kayak Tinggal di Resort Bali","Bayangin tiap pagi bangun tidur langsung view kolam renang resort...","[PROBLEM] Pengen suasana resort tapi gak mungkin liburan terus. [SOLUTION] Paradise Resort City menghadirkan full resort facilities di kawasan hunian. [USP] Lagoon pool lazy river tropical garden dan beach club concept. [BENEFIT] Staycation every day tanpa perlu booking hotel.","Lagoon pool wide shot; Lazy river; Tropical garden; Beach club area; Gazebo; Hammock area; Sunrise di pool; Cabana; Fasilitas fitness outdoor","Aerial lagoon pool; Bird eye full resort area; Tracking shot lazy river; Panoramic sunset pool","Setiap pagi bangun tidur langsung view ini. Bukan hotel bukan resort ini rumahmu. Paradise Resort City beneran ngasih experience resort living setiap hari!","Komen PARADISE untuk price list lengkap.",30s
W2-TUE-02,MARKETING,Wangsa Serpong,"Kenapa Serpong Masih Jadi Area Investasi Terbaik 2026","Area ini naik 15% per tahun... dan masih ada cluster baru di bawah 1M.","[PROBLEM] Banyak yang mikir Serpong sudah terlalu mahal untuk investasi. [SOLUTION] Data menunjukkan kenaikan harga konsisten 15% per tahun dan masih ada entry point terjangkau. [USP] Wangsa Serpong menawarkan lokasi Serpong premium dengan harga di bawah 1M. [BENEFIT] Entry point investasi di area premium sebelum harga naik lagi.","Jalan utama Serpong; Mall-mall Serpong; Akses tol; Peta area; Data kenaikan harga graphic; Wangsa Serpong gate; Show unit; Area sekitar","Aerial area Serpong; Bird eye akses tol; Tracking shot commercial area; Reveal cluster dari highway","Serpong kemahalan? Think again. Harga naik 15% per tahun itu artinya yang beli sekarang untung tahun depan. Dan Wangsa Serpong masih di bawah 1M. Ini golden opportunity!","Follow Estetika Property untuk update properti Serpong.",30s
W2-WED-01,EDUCATION,-,"SHM vs HGB: Jangan Salah Pilih Sertifikat Rumah!","Banyak yang beli rumah tanpa cek sertifikat... ini bedanya SHM dan HGB.","[PROBLEM] 70% pembeli rumah pertama tidak tahu perbedaan SHM dan HGB. [SOLUTION] SHM adalah hak milik penuh dan permanen. HGB adalah hak guna bangunan dengan batas waktu. [EXAMPLE] Untuk hunian pribadi usahakan SHM. Untuk investasi jangka pendek HGB masih oke selama masa berlaku panjang. [BENEFIT] Pilih sertifikat yang tepat lindungi aset terbesarmu.","Text comparison SHM vs HGB; Dokumen sertifikat (blur); Graphic timeline; Checklist visual; Ilustrasi hak milik; Proses upgrade HGB ke SHM","N/A","SHM atau HGB? Ini penting banget dan banyak yang skip. SHM itu hak milik kamu permanen. HGB ada batas waktunya. Untuk rumah tinggal selalu usahakan SHM. Untuk investasi HGB masih bisa asal...","Simpan video ini sebelum kamu tanda tangan AJB!",28s

W2-WED-02,MARKETING,Nano Town Hills,"Nano Town Hills: Rumah Mungil Harga Mini Desain Maksimal","Rumah ini cuma 300 jutaan... tapi designnya bikin kamu gak percaya.","[PROBLEM] Budget terbatas tapi tetap mau rumah dengan desain yang bagus. [SOLUTION] Nano Town Hills membuktikan rumah compact bisa tetap stylish dan fungsional. [USP] Smart layout yang memaksimalkan setiap meter dengan desain modern dan storage terintegrasi. [BENEFIT] Punya rumah sendiri dengan cicilan lebih ringan dari kontrakan.","Facade compact modern; Pintu masuk; Living room yang terasa luas; Smart storage; Kitchen compact; Bedroom dengan storage wall; Kamar mandi modern; Teras kecil","Aerial cluster compact; Bird eye layout efisien; Tracking shot deretan rumah; Comparison size","300 jutaan dapat rumah kayak gini? Nano Town Hills bikin yang impossible jadi possible. Rumahnya compact tapi designnya... lihat sendiri deh. Smart layout-nya bikin 36 meter terasa double!","Komen INFO untuk detail unit Nano Town Hills.",28s
W2-THU-01,MARKETING,Hcity Sawangan,"Hcity Sawangan: Rumah Smart Home Pertama di Sawangan","Rumah ini bisa kamu kontrol dari HP... mulai dari lampu sampai pintu!","[PROBLEM] Rumah biasa terasa ketinggalan zaman di era digital. [SOLUTION] Hcity Sawangan mengintegrasikan smart home system di setiap unit. [USP] Control lampu AC pintu CCTV dan curtain dari smartphone. Semua sudah termasuk harga. [BENEFIT] Rumah yang bekerja untuk kamu bukan sebaliknya.","Demo smart phone control; Lampu otomatis; Pintu smart lock; CCTV monitor; AC auto; Curtain electric; Panel smart home; Living room modern; Demo voice control","Aerial cluster modern; Bird eye view; Tracking shot cluster; Night shot dengan lighting smart","Rumah ini bisa kamu kontrol full dari HP. Lampu pintu AC curtain CCTV... semua. Dan yang bikin beda ini udah include di harga rumah bukan tambahan. Welcome to the future!","DM kata HCITY untuk jadwal survey.",30s
W2-THU-02,ENTERTAINING,-,"Guess The Price: Tebak Harga 3 Rumah Ini!","Coba tebak... rumah mana yang paling mahal dari 3 ini?","[SETUP] Tampilkan 3 rumah berbeda: rumah besar tapi lokasi pinggir rumah medium lokasi strategis dan rumah kecil premium area. [ENGAGEMENT] Kasih waktu 5 detik untuk nebak. [REVEAL] Reveal harga satu-satu dengan reaksi. [TWIST] Yang paling kecil justru paling mahal karena lokasi premium. [LESSON] Di properti lokasi mengalahkan ukuran.","3 rumah berbeda angle depan; Interior masing-masing; Area sekitar; Reveal card harga; Reaction shot; Area map comparison","N/A","Oke challenge time! 3 rumah ini... tebak mana yang paling mahal? A rumah gede di pinggiran B rumah medium di kota atau C rumah kecil di area premium? Tulis jawaban dulu baru swipe!","Tulis jawaban kamu di komentar! Follow untuk quiz lainnya.",25s
W2-FRI-01,MARKETING,"The Pine vs The Boulevard Bogor","The Pine vs The Boulevard Bogor: Mana Investasi Terbaik di Bogor?","Bogor lagi naik daun... tapi dari 2 cluster ini mana yang lebih cuan?","[PROBLEM] Bogor punya banyak proyek baru dan bingung pilih yang mana untuk investasi. [SOLUTION] Kita compare The Pine dan The Boulevard dari segi lokasi konsep harga dan potensi kenaikan. [COMPARISON] The Pine unggul di konsep nature dan view. Boulevard unggul di akses dan commercial value. [VERDICT] Untuk passive income Boulevard. Untuk capital gain The Pine.","Gate The Pine; Gate Boulevard; Interior keduanya; View gunung The Pine; Commercial Boulevard; Fasilitas masing-masing; Area development; Jalan akses","Aerial kedua lokasi; Bird eye comparison; Tracking shot area Bogor; Mountain view drone","Bogor lagi jadi hot area. Dua proyek ini sama-sama premium tapi karakternya beda. The Pine fokus nature living The Boulevard fokus urban Bogor. Mana yang lebih cuan? Let me break it down!","Komen INVESTASI untuk konsultasi gratis.",30s
W2-FRI-02,EDUCATION,-,"DP Rumah Gak Harus 20%! Ini Cara Cerdasnya","Masih mikir DP rumah harus ratusan juta? Ada cara lain...","[PROBLEM] Banyak yang mengira DP harus 20% dan merasa tidak mampu beli rumah. [SOLUTION] Sekarang banyak developer dan bank yang offer DP mulai 5-10% bahkan ada yang 0% DP. [EXAMPLE] Rumah 500 juta dengan DP 5% artinya kamu cuma perlu 25 juta untuk mulai. [BENEFIT] Jangan tunggu tabungan cukup 100 juta mulai dari yang feasible.","Graphic DP calculation; Comparison 5% vs 10% vs 20%; Bank promo screenshots; Developer promo; Calculator visual; Timeline saving","N/A","DP 20% untuk rumah 500 juta itu 100 juta. Nabung berapa lama? Tapi sekarang ada opsi DP 5% alias cuma 25 juta. Bahkan ada yang 0% DP! Kuncinya tahu program yang tepat.","Simpan dan share ke teman yang mau beli rumah pertama!",25s

W3-MON-01,MARKETING,Martadinata Residence,"Martadinata Residence: 15 Menit ke Stasiun Tapi Harga Masih Waras","Lokasi rumah ini 15 menit ke stasiun... cicilannya mulai 3 jutaan.","[PROBLEM] Rumah dekat stasiun biasanya harganya selangit. [SOLUTION] Martadinata Residence hanya 15 menit ke stasiun dengan cicilan mulai 3 jutaan. [USP] Akses commuter line plus angkot 24 jam. Cocok untuk pekerja Jakarta. [BENEFIT] Commute nyaman tanpa harus bayar mahal untuk lokasi.","Gate perumahan; Jalan menuju stasiun; Stasiun KRL; Interior rumah; Living room; Dapur; Kamar tidur; Area sekitar; Akses transportasi","Aerial view ke stasiun; Bird eye cluster; Tracking shot rute ke stasiun; Overview area","15 menit ke stasiun KRL. Cicilan mulai 3 jutaan. Ini bukan mimpi ini Martadinata Residence. Buat kamu yang kerja di Jakarta tapi mau punya rumah sendiri... ini jawabannya!","Komen INFO untuk price list Martadinata Residence.",30s
W3-MON-02,MARKETING,The Avoria,"The Avoria: Cluster Baru yang Langsung Sold Out di Minggu Pertama","Cluster ini baru launch tapi unitnya tinggal sedikit... ini alasannya.","[PROBLEM] Cluster bagus selalu habis cepat dan kamu ketinggalan info. [SOLUTION] The Avoria adalah bukti cluster berkualitas. Launch minggu pertama langsung sold 80%. [USP] Design premium limited unit hanya 50 rumah dengan private club house. [BENEFIT] Eksklusivitas dan privacy yang tidak bisa kamu dapat di cluster besar.","Gate eksklusif; Limited unit signage; Interior premium; Private club house; Design facade; Detail material; Garden area; Security system","Aerial view 50 unit; Bird eye exclusive layout; Tracking shot cluster; Reveal club house dari atas","Cluster ini baru launch dan di minggu pertama udah sold 80%. The Avoria. Cuma 50 unit jadi yang dapet beneran exclusive. Sisa unitnya tinggal dikit. Let me show you kenapa orang rebutan!","DM kata AVORIA untuk booking unit tersisa.",30s
W3-TUE-01,MARKETING,Kemang Verde,"Kemang Verde: Kalau Mau Tinggal di Kemang Tanpa Kantong Jebol","Tinggal di area Kemang bukan mimpi lagi... ini buktinya.","[PROBLEM] Kemang identik dengan harga properti yang sangat mahal. [SOLUTION] Kemang Verde hadir sebagai entry point affordable di area premium Kemang. [USP] Lokasi strategis di koridor Kemang dengan harga 40% lebih rendah dari average area. [BENEFIT] Alamat prestisius fasilitas premium dengan budget yang lebih masuk akal.","Area Kemang overview; Gate Kemang Verde; Lobby premium; Interior unit; Balcony view; Facility area; Gym; Pool; Rooftop garden","Aerial area Kemang; Bird eye cluster; Tracking shot jalan Kemang; Reveal pool dari atas","Kemang. Area paling prestisius di Jakarta Selatan. Dan sekarang kamu bisa tinggal di sini tanpa harus jual ginjal. Kemang Verde ini game changer. Harganya 40% di bawah average Kemang!","Komen KEMANG untuk info lengkap Kemang Verde.",30s
W3-TUE-02,MARKETING,Kemang Eminence Resort,"Kemang Eminence Resort: Developer Ini Bikin Rumah Rasa Hotel","Developer ini konsepnya beda... rumahnya kayak staycation setiap hari.","[PROBLEM] Hidup di kota bikin stress dan butuh escape yang mahal. [SOLUTION] Kemang Eminence Resort membawa resort experience ke daily living. [USP] Infinity pool spa gym concierge service dan lobby lounge. [BENEFIT] Staycation setiap hari tanpa bayar hotel.","Lobby hotel-like; Infinity pool; Spa area; Gym premium; Concierge desk; Lounge area; Interior unit; Sunset di pool; Garden area","Aerial resort layout; Bird eye infinity pool; Tracking shot fasilitas; Panoramic sunset","Developer ini literally bikin rumah dengan standar hotel bintang 5. Infinity pool spa concierge... semua ada. Kemang Eminence Resort. Pulang kerja rasanya kayak check-in hotel!","DM SURVEY untuk jadwal kunjungan Kemang Eminence.",30s
W3-WED-01,EDUCATION,-,"5 Red Flag Developer Nakal yang Sering Diabaikan Pembeli","Developer nakal punya pola yang sama... cek 5 tanda ini sebelum transfer!","[PROBLEM] Banyak pembeli yang tertipu developer bodong karena tidak tahu red flag-nya. [SOLUTION] Ada 5 tanda yang konsisten muncul di developer bermasalah. [EXPLANATION] 1. Tidak punya legalitas lengkap. 2. Progress pembangunan tidak sesuai timeline. 3. Tidak ada show unit atau lokasi fiktif. 4. Pressure untuk bayar cepat. 5. Tidak terdaftar di REI atau APERSI. [BENEFIT] Kenali tanda-tanda ini lindungi uang dan masa depanmu.","Red flag graphic icons; Checklist visual; Screenshot website fiktif (blur); Comparison legit vs scam; Warning signs; Document checklist","N/A","5 red flag developer nakal. Nomor 1 gak punya IMB atau PBG. Nomor 2 progress gak sesuai janji. Nomor 3 gak ada show unit. Nomor 4 maksa bayar cepat. Nomor 5 gak terdaftar di asosiasi resmi. Ingat ini!","Simpan video ini! Jangan sampai kena tipu developer bodong.",28s

W3-WED-02,MARKETING,The Ayase,"The Ayase: Rumah Minimalis Jepang yang Bikin Kamu Gak Mau Keluar","Minimalis tapi mewah... ini definisi rumah Jepang modern.","[PROBLEM] Desain minimalis sering terasa dingin dan tidak homey. [SOLUTION] The Ayase menggabungkan minimalis Jepang dengan kehangatan material natural. [USP] Full wood accent tatami room indoor garden dan natural ventilation system. [BENEFIT] Rumah yang bikin kamu rileks setiap kali pulang kerja.","Entrance minimalis; Wood accent wall; Tatami room; Indoor garden; Natural light masuk; Living room warm minimalis; Detail material kayu; Ventilasi alami; Taman dalam","Aerial cluster; Bird eye layout; Tracking shot koridor minimalis; Reveal indoor garden dari atas","Minimalis tapi hangat. Simple tapi mewah. The Ayase ini definisi Japanese modern yang bener. Wood accent di mana-mana tatami room beneran dan indoor garden di setiap unit!","Komen AYASE untuk info harga dan promo.",30s
W3-THU-01,MARKETING,New Permata Residence,"New Permata Residence: Rumah Ready Stock Langsung Huni!","Gak mau nunggu 2 tahun? Rumah ini ready stock langsung bisa ditempati.","[PROBLEM] Beli rumah dari developer biasanya harus nunggu 1-2 tahun untuk serah terima. [SOLUTION] New Permata Residence punya unit ready stock yang bisa langsung ditempati. [USP] Rumah sudah jadi bisa langsung cek kualitas real tanpa gambling dari brosur. [BENEFIT] What you see is what you get. Tidak ada surprises.","Rumah yang sudah jadi; Interior real (bukan render); Kualitas cat dinding; Detail keramik; Plafon; Listrik sudah nyala; Air mengalir; Taman sudah jadi; Jalan sudah cor","Aerial cluster jadi; Bird eye view; Tracking shot rumah ready; Reveal kawasan matang","Bosan nunggu 2 tahun? New Permata ini ready stock. Yang kamu lihat ini real bukan render. Bisa langsung cek kualitas sentuh dindingnya cek airnya. No gambling!","DM kata READY untuk list rumah ready stock lainnya.",28s
W3-THU-02,ENTERTAINING,-,"Ekspektasi vs Realita Beli Rumah Pertama","Ekspektasi: survey 1 rumah langsung deal. Realita: survey 20 rumah masih galau.","[SETUP] Split screen ekspektasi vs realita. [SCENE 1] Ekspektasi: langsung jatuh cinta rumah pertama. Realita: rumah ke-20 masih gak sreg. [SCENE 2] Ekspektasi: proses KPR 1 minggu. Realita: 2 bulan masih nunggu approval. [SCENE 3] Ekspektasi: pindahan sekali jalan. Realita: 5 trip dan masih ada yang ketinggalan. [PUNCHLINE] Tapi semua worth it pas akhirnya dapet kunci.","Split screen shots; Ekspresi hopeful vs exhausted; Dokumen menumpuk; Barang pindahan; Akhirnya pegang kunci; Celebration shot; Before-after","N/A","Ekspektasi beli rumah: smooth elegant dan cepat. Realitanya? Survey 20x dokumen setumpuk dan proses berbulan-bulan. But hey... momen dapat kunci itu... priceless!","Relate? Follow Estetika Property biar surveynya gak sia-sia!",25s
W3-FRI-01,MARKETING,"Kalimaya Park Pamulang vs Lake Home Serpong","Kalimaya Park vs Lake Home: Battle Cluster Selatan Jakarta!","Dua cluster ini sama-sama di Selatan Jakarta... mana yang lebih worth?","[PROBLEM] Selatan Jakarta punya banyak pilihan cluster dan bingung memilih. [SOLUTION] Kita bandingkan 2 cluster top: Kalimaya Park di Pamulang dan Lake Home di Serpong. [COMPARISON] Kalimaya unggul di harga dan suasana tenang. Lake Home unggul di view danau dan fasilitas. [VERDICT] Budget-conscious pilih Kalimaya. View-oriented pilih Lake Home.","Gate Kalimaya; Gate Lake Home; Interior keduanya; View danau Lake Home; Taman Kalimaya; Fasilitas masing-masing; Area sekitar; Jalan akses","Aerial kedua lokasi; Bird eye danau Lake Home; Tracking shot Kalimaya; Split comparison","Selatan Jakarta battle! Kalimaya Park Pamulang versus Lake Home Serpong. Dua cluster premium karakter beda. Yang satu tenang damai yang satu view danau. Mana cocok buat kamu?","Komen pilihan kamu! DM INFO untuk detail harga.",30s
